;year_month;uf;product;unit;volume;created_at
0;2013-01-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);3517.6;2022-09-12 23:11:30.887749
1;2013-02-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);3681.7;2022-09-12 23:11:30.887749
2;2013-03-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);4700.67;2022-09-12 23:11:30.887749
3;2013-04-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);5339.2;2022-09-12 23:11:30.887749
4;2013-05-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);6166.4;2022-09-12 23:11:30.887749
5;2013-06-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);6539.65;2022-09-12 23:11:30.887749
6;2013-07-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);7283.7;2022-09-12 23:11:30.887749
7;2013-08-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);8082.85;2022-09-12 23:11:30.887749
8;2013-09-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);7902.55;2022-09-12 23:11:30.887749
9;2013-10-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);9383.15;2022-09-12 23:11:30.887749
10;2013-11-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);9767.4;2022-09-12 23:11:30.887749
11;2013-12-01;RONDÔNIA;ÓLEO DIESEL S-10;(m3);9088.8;2022-09-12 23:11:30.887749
12;2013-01-01;ACRE;ÓLEO DIESEL S-10;(m3);363.0;2022-09-12 23:11:30.887749
13;2013-02-01;ACRE;ÓLEO DIESEL S-10;(m3);410.0;2022-09-12 23:11:30.887749
14;2013-03-01;ACRE;ÓLEO DIESEL S-10;(m3);536.0;2022-09-12 23:11:30.887749
15;2013-04-01;ACRE;ÓLEO DIESEL S-10;(m3);607.0;2022-09-12 23:11:30.887749
16;2013-05-01;ACRE;ÓLEO DIESEL S-10;(m3);740.0;2022-09-12 23:11:30.887749
17;2013-06-01;ACRE;ÓLEO DIESEL S-10;(m3);756.0;2022-09-12 23:11:30.887749
18;2013-07-01;ACRE;ÓLEO DIESEL S-10;(m3);971.0;2022-09-12 23:11:30.887749
19;2013-08-01;ACRE;ÓLEO DIESEL S-10;(m3);1174.0;2022-09-12 23:11:30.887749
20;2013-09-01;ACRE;ÓLEO DIESEL S-10;(m3);1240.0;2022-09-12 23:11:30.887749
21;2013-10-01;ACRE;ÓLEO DIESEL S-10;(m3);1439.0;2022-09-12 23:11:30.887749
22;2013-11-01;ACRE;ÓLEO DIESEL S-10;(m3);1483.0;2022-09-12 23:11:30.887749
23;2013-12-01;ACRE;ÓLEO DIESEL S-10;(m3);1483.0;2022-09-12 23:11:30.887749
24;2013-01-01;AMAZONAS;ÓLEO DIESEL S-10;(m3);3190.585;2022-09-12 23:11:30.887749
