ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;JAN;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;3517,6
2013;FEV;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;3681,7
2013;MAR;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;4700,67
2013;ABR;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;5339,2
2013;MAI;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;6166,4
2013;JUN;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;6539,65
2013;JUL;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;7283,7
2013;AGO;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;8082,85
2013;SET;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;7902,55
2013;OUT;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;9383,15
2013;NOV;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;9767,4
2013;DEZ;REGIÃO NORTE;RONDÔNIA;ÓLEO DIESEL S-10;9088,8
2013;JAN;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;363
2013;FEV;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;410
2013;MAR;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;536
2013;ABR;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;607
2013;MAI;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;740
2013;JUN;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;756
2013;JUL;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;971
2013;AGO;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;1174
2013;SET;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;1240
2013;OUT;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;1439
2013;NOV;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;1483
2013;DEZ;REGIÃO NORTE;ACRE;ÓLEO DIESEL S-10;1483
2013;JAN;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;3190,585
2013;FEV;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;3305
2013;MAR;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;3391
2013;ABR;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;3637
2013;MAI;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;4250
2013;JUN;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;4576
2013;JUL;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;5756,879
2013;AGO;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;6228,636
2013;SET;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;6334
2013;OUT;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;7154,2
2013;NOV;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;6836,3
2013;DEZ;REGIÃO NORTE;AMAZONAS;ÓLEO DIESEL S-10;6784,232
2013;JAN;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;795,4
2013;FEV;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;757,2
2013;MAR;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;939,8
2013;ABR;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1040,6
2013;MAI;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;966
2013;JUN;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;992,9
2013;JUL;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1027
2013;AGO;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1083,8
2013;SET;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1311,2
2013;OUT;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1475,3
2013;NOV;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1502,7
2013;DEZ;REGIÃO NORTE;RORAIMA;ÓLEO DIESEL S-10;1531,8
2013;JAN;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;30137,8
2013;FEV;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;28146,3
2013;MAR;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;31280,5
2013;ABR;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;33033,05
2013;MAI;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;33519,88
2013;JUN;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;34321,53
2013;JUL;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;37168,16
2013;AGO;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;41248,336
2013;SET;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;40913,48
2013;OUT;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;45383,5
2013;NOV;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;44013,219
2013;DEZ;REGIÃO NORTE;PARÁ;ÓLEO DIESEL S-10;41975,03
2013;JAN;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;252,5
2013;FEV;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;223
2013;MAR;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;348
2013;ABR;REGIÃO NORTE;AMAPÁ;ÓLEO DIESEL S-10;456,5
